SURABAYA,,JOMBANG,,KEDIRI,,BLITAR,,PACITAN,,GRESIK,,TULUNGAGUNG,,SIDOARJO,,LAMONGAN,,PONOROGO,,MALANG,,NGANJUK,,TRENGGALEK,,MOJOKERTO
60143,,Alang Alang Caruban,,64152,,66183,,Gedompol,,61182,,Botoran,,"Dukuh Tengah, East Java",,62291,,"Badegan, Jawa Tengah, Indonesia",,"Beru, Jawa Timur, Indonesia",,Duren,,"Munjungan, Jawa Timur, Indonesia",,61374
60144,,Asem Gede,,64153,,66184,,Gegeran,,Abar-Abir,,"Boyolangu, Jawa Timur, Indonesia",,"Dukuhsari, Jawa Timur, Indonesia",,62292,,"Bajang, Jawa Timur, Indonesia",,"Binangun, Jawa Timur, Indonesia",,Gampeng,,Ngadirengga,,61375
60145,,"Badang, Ngoro",,64154,,66186,,Gemaharjo,,"Abar-abir, East Java",,Bulusari ,,"Gedangan, Jawa Timur, Indonesia",,62293,,Bangunsari,,"Boronggondang, East Java",,Gondang,,Ngantru,,61381
60151,,"Badas, Sumobito",,64155,,66187,,Gembong,,Ambeng Ambeng Watangrejo,,"Campurdarat, Jawa Timur, Indonesia",,"Gelam, Jawa Timur, Indonesia",,"Babad, East Java",,Banyudono,,"Boronglalang, East Java",,Jatirejo,,Ngares,,61382
60152,,Bagus Kedaleman,,64156,,66191,,Gembuk,,"Araararedja, East Java",,"Domasan, East Java",,"Gemurung, Jawa Timur, Indonesia",,"Babat, East Java ",,Bareng ,,"Bugis, East Java",,Jatirejo   ,,"Ngepeh, Jawa Timur, Indonesia",,61383
60153,,Bakalanrayung,,64157,,66192,,Gendaran,,Asempapak,,Gendingan 1,,Glagah Arum,,"Babat, Jawa Timur, Indonesia",,Beduri,,"Bulukerto, Jawa Timur, Indonesia",,Jatirejo    ,,Ngetal,,61384
60154,,Balong Besuk,,64161,,66193,,Glinggangan,,Babakbawo,,Gendingan 2,,"Jabonprambon, East Java",,"Bandung 1, Indonesia",,Brotonegaran,,"Bululawang, Jawa Timur, Indonesia",,Joho,,"Nglongsor, Jawa Timur, Indonesia",,61385
60155,,Balonggemek,,64162,,66194,,Gondang,,Babaksari,,"Gondang, Jawa Timur, Indonesia",,"Jambangan, East Java",,"Bangkok, Jawa Timur, Indonesia",,"Bungkal, Jawa Timur, Indonesia",,Bumiayu,,Juwet,,Ngulah Kulon,,Awangawang
60161,,Balongsari ,,64171,,Bacem,,Gondosari,,Babatan,,Jepun,,Janti,,Banjarmendalan,,Cokromenggalan,,"Bumiayu Dua, East Java",,Kacangan,,Ngulah Wetan,,Balongmojo
60162,,Bandung,,64172,,"Bacem, Jawa Timur, Indonesia",,Gunung Rejo,,"Bakalan, East Java",,"Kalangbret, Jawa Timur, Indonesia",,"Japanan, Jawa Timur, Indonesia",,"Bapuhbandung, East Java",,Gupolo,,"Bumiayu Satu, East Java",,Kampungbaru,,"Panggul, Jawa Timur, Indonesia",,Balongsari
